"Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex","Country"
1998,99,"0.38035","0.31958","0.5",3144,"1005","2642","7287","2.32","AUS"
1998,100,"0.41247","0.34195","0.5",2140,"732","1774","4645","2.17","AUS"
1998,101,"0.44535","0.36425","0.5",1408,"513","1152","2871","2.04","AUS"
1998,102,"0.47872","0.38627","0.5",895,"346","722","1719","1.92","AUS"
1998,103,"0.51228","0.40782","0.5",549,"224","437","997","1.82","AUS"
1998,104,"0.54573","0.42874","0.5",325,"139","256","560","1.72","AUS"
1998,105,"0.57877","0.44887","0.5",186,"83","144","304","1.64","AUS"
1998,106,"0.61112","0.46809","0.5",102,"48","78","160","1.56","AUS"
1998,107,"0.64252","0.48629","0.5",54,"26","41","82","1.5","AUS"
1998,108,"0.67274","0.50341","0.5",28,"14","21","40","1.44","AUS"
1998,109,"0.7016","0.5194","0.5",14,"7","10","19","1.4","AUS"
1998,110,"0.72893","1","1.37",7,"7","9","9","1.37","AUS"
1999,75,"0.02369","0.02341","0.5",79014,"1850","78089","995653","12.6","AUS"
1999,76,"0.02671","0.02635","0.5",77164,"2034","76148","917563","11.89","AUS"
1999,77,"0.03183","0.03133","0.5",75131,"2354","73954","841415","11.2","AUS"
1999,78,"0.03482","0.03423","0.5",72777,"2491","71532","767461","10.55","AUS"
1999,79,"0.03934","0.03859","0.5",70286,"2712","68930","695930","9.9","AUS"
1999,80,"0.04442","0.04346","0.5",67574,"2936","66106","626999","9.28","AUS"
1999,81,"0.05029","0.04905","0.5",64638,"3171","63052","560893","8.68","AUS"
1999,82,"0.05764","0.05603","0.5",61467,"3444","59745","497841","8.1","AUS"
1999,83,"0.06404","0.06206","0.5",58023,"3601","56223","438096","7.55","AUS"
1999,84,"0.07759","0.0747","0.5",54422,"4065","52390","381873","7.02","AUS"
1999,85,"0.08715","0.08351","0.5",50357,"4205","48255","329483","6.54","AUS"
1999,86,"0.09738","0.09286","0.5",46152,"4286","44009","281229","6.09","AUS"
1999,87,"0.10853","0.10294","0.5",41866,"4310","39711","237220","5.67","AUS"
1999,88,"0.12266","0.11557","0.5",37556,"4340","35386","197508","5.26","AUS"
